시도,시군구,성별,연령구분, 2019년 ,,, 2020년 ,,, 2021년 ,,, 2022년 ,,, 2023년 ,,,,,
,,,,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,,,
서울,구로구,남,10~19세," 48,879,090 ", 452 , 66 ," 50,151,570 ", 459 , 61 ," 71,443,590 ", 620 , 81 ," 19,531,430 ", 402 , 69 ," 51,725,520 ", 425 , 63 ,,,
서울,구로구,남,20~29세," 134,777,730 ", 864 , 181 ," 49,425,800 ", 698 , 167 ," 58,481,990 ", 776 , 187 ," 65,515,200 ", 851 , 202 ," 57,481,780 ", 984 , 219 ,,,
서울,구로구,남,30~39세," 300,098,930 "," 4,328 ", 861 ," 286,490,600 "," 4,275 ", 832 ," 328,286,030 "," 4,440 ", 860 ," 345,406,500 "," 4,221 ", 835 ," 355,061,600 "," 4,235 ", 831 ,,,
서울,구로구,남,40~49세," 590,532,260 "," 14,371 "," 2,657 "," 788,626,050 "," 15,104 "," 2,795 "," 784,439,750 "," 15,759 "," 2,867 "," 766,523,110 "," 14,782 "," 2,763 "," 841,868,070 "," 14,479 "," 2,672 ",,,
서울,구로구,남,50~59세," 1,266,632,780 "," 28,394 "," 5,122 "," 1,287,287,780 "," 28,465 "," 5,206 "," 1,617,883,210 "," 29,166 "," 5,174 "," 1,566,959,460 "," 28,974 "," 5,226 "," 1,728,644,440 "," 29,653 "," 5,321 ",,,
서울,구로구,남,60~69세," 1,516,849,480 "," 33,523 "," 5,816 "," 1,638,178,380 "," 34,852 "," 6,113 "," 2,109,309,360 "," 37,822 "," 6,571 "," 2,228,822,910 "," 38,661 "," 6,568 "," 2,512,000,980 "," 40,505 "," 6,910 ",,,
서울,구로구,남,70~79세," 1,034,597,150 "," 22,007 "," 3,293 "," 1,368,784,130 "," 22,740 "," 3,424 "," 1,250,987,890 "," 22,091 "," 3,546 "," 1,551,201,140 "," 23,464 "," 3,762 "," 1,783,527,210 "," 25,376 "," 4,006 ",,,
서울,구로구,남,80~89세," 286,061,660 "," 5,900 ", 826 ," 490,930,340 "," 7,211 ", 997 ," 682,819,540 "," 7,871 "," 1,115 "," 924,935,250 "," 9,198 "," 1,269 "," 705,657,750 "," 9,650 "," 1,390 ",,,
서울,구로구,남,90~99세," 55,286,300 ", 317 , 42 ," 87,385,670 ", 579 , 48 ," 42,300,850 ", 554 , 50 ," 29,017,250 ", 406 , 46 ," 12,286,620 ", 268 , 57 ,,,
서울,구로구,남,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,구로구,여,0~9세, - , - , - , - , - , - ," 7,613,050 ", 93 , 12 , - , - , - , - , - , - ,,,
서울,구로구,여,10~19세," 42,615,980 ", 334 , 40 ," 38,530,320 ", 369 , 43 ," 46,377,140 ", 444 , 48 ," 18,288,980 ", 345 , 52 ," 41,233,080 ", 394 , 53 ,,,
서울,구로구,여,20~29세," 39,358,040 ", 598 , 146 ," 33,730,650 ", 640 , 142 ," 51,833,720 ", 834 , 164 ," 53,465,900 ", 872 , 187 ," 60,896,280 ", 887 , 191 ,,,
서울,구로구,여,30~39세," 77,421,570 "," 1,754 ", 391 ," 103,486,890 "," 1,754 ", 388 ," 109,133,950 "," 1,990 ", 434 ," 172,804,760 "," 2,287 ", 467 ," 120,768,660 "," 1,990 ", 460 ,,,
서울,구로구,여,40~49세," 206,850,080 "," 5,149 "," 1,006 "," 311,438,660 "," 5,418 ", 987 ," 291,703,030 "," 4,927 ", 994 ," 285,304,940 "," 4,910 ", 924 ," 318,082,430 "," 5,307 ", 950 ,,,
서울,구로구,여,50~59세," 632,382,110 "," 16,711 "," 2,974 "," 702,144,570 "," 16,426 "," 2,925 "," 797,027,070 "," 16,514 "," 2,947 "," 757,338,170 "," 15,856 "," 2,808 "," 847,905,380 "," 15,818 "," 2,746 ",,,
서울,구로구,여,60~69세," 977,914,710 "," 26,239 "," 4,538 "," 1,122,206,070 "," 27,215 "," 4,726 "," 1,190,793,750 "," 28,860 "," 4,951 "," 1,397,772,120 "," 28,943 "," 5,001 "," 1,475,323,270 "," 30,120 "," 5,106 ",,,
서울,구로구,여,70~79세," 867,286,870 "," 23,559 "," 3,625 "," 1,084,319,370 "," 24,165 "," 3,825 "," 1,322,915,170 "," 25,333 "," 3,907 "," 1,408,053,490 "," 25,697 "," 4,016 "," 1,442,199,220 "," 26,090 "," 4,127 ",,,
서울,구로구,여,80~89세," 367,246,750 "," 9,229 "," 1,408 "," 460,841,250 "," 9,246 "," 1,495 "," 797,952,700 "," 11,262 "," 1,651 "," 1,172,855,290 "," 13,656 "," 1,885 "," 1,114,969,120 "," 14,431 "," 2,055 ",,,
서울,구로구,여,90~99세," 41,218,900 ", 665 , 116 ," 78,059,360 "," 1,185 ", 124 ," 114,235,810 "," 1,769 ", 128 ," 96,542,530 "," 1,560 ", 150 ," 163,682,070 "," 1,605 ", 178 ,,,
서울,구로구,여,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,도봉구,남,0~9세, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,도봉구,남,10~19세," 9,523,320 ", 116 , 27 ," 2,876,200 ", 78 , 25 ," 5,610,760 ", 76 , 24 ," 5,892,930 ", 89 , 20 ," 6,719,390 ", 107 , 24 ,,,
서울,도봉구,남,20~29세," 24,306,050 ", 346 , 87 ," 14,753,960 ", 371 , 90 ," 13,375,360 ", 435 , 97 ," 20,005,980 ", 475 , 98 ," 33,190,050 ", 478 , 102 ,,,
서울,도봉구,남,30~39세," 73,151,450 "," 1,742 ", 341 ," 68,888,260 "," 1,844 ", 344 ," 90,373,130 "," 2,142 ", 409 ," 82,270,380 "," 1,986 ", 401 ," 90,775,870 "," 1,893 ", 382 ,,,
서울,도봉구,남,40~49세," 258,631,320 "," 7,339 "," 1,349 "," 281,752,460 "," 7,554 "," 1,309 "," 290,990,750 "," 8,239 "," 1,358 "," 317,069,710 "," 8,082 "," 1,305 "," 317,644,780 "," 7,693 "," 1,229 ",,,
서울,도봉구,남,50~59세," 627,012,210 "," 17,545 "," 2,984 "," 567,503,770 "," 17,391 "," 2,949 "," 609,495,040 "," 18,177 "," 2,964 "," 672,610,410 "," 18,524 "," 2,904 "," 662,296,210 "," 18,087 "," 2,873 ",,,
